pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,league_name,club_name,nationality_name,skill_moves,release_clause_eur,preferred_foot,composite_score,rank_overall,rank_composite
79.0,77.0,83.0,84.0,74.0,78.0,74,77,74,L. Pellegrini,Lorenzo Pellegrini,"CAM, CM",84,87,55000000.0,95000.0,26,186,77,Serie A,Roma,Italy,3,97600000.0,Right,81.47999999999999,8,31
78.0,77.0,83.0,82.0,75.0,82.0,78,76,58,R. De Paul,Rodrigo Javier De Paul,"CM, RM",84,84,42000000.0,85000.0,28,180,70,La Liga,Atlético Madrid,Argentina,4,88200000.0,Right,81.42,8,32
85.0,83.0,75.0,85.0,57.0,77.0,73,86,84,Diogo Jota,Diogo José Teixeira da Silva,"CF, LW",85,88,72000000.0,170000.0,25,178,73,Premier League,Liverpool,Portugal,4,138600000.0,Right,81.4,7,33
94.0,66.0,77.0,84.0,75.0,77.0,85,64,70,A. Davies,Alphonso Boyle Davies,"LB, LM",84,89,60500000.0,59000.0,21,185,77,Bundesliga,FC Bayern München,Canada,4,104400000.0,Left,81.24000000000001,8,34
83.0,82.0,82.0,87.0,38.0,80.0,81,83,49,N. Fekir,Nabil Fekir,CAM,85,85,54500000.0,48000.0,28,173,75,La Liga,Real Betis,France,4,114500000.0,Left,81.16,7,35
80.0,85.0,85.0,90.0,40.0,59.0,82,83,58,P. Dybala,Paulo Bruno Exequiel Dybala,"CF, CAM",86,86,69500000.0,130000.0,28,177,75,Serie A,Roma,Argentina,4,118200000.0,Left,81.14000000000001,6,36
76.0,69.0,89.0,80.0,79.0,72.0,92,62,69,T. Alexander-Arnold,Trent Alexander-Arnold,RB,86,89,86000000.0,140000.0,23,180,69,Premier League,Liverpool,England,3,165600000.0,Right,81.13999999999999,6,37
83.0,83.0,72.0,85.0,48.0,84.0,58,88,84,L. Martínez,Lautaro Javier Martínez,ST,86,90,98500000.0,110000.0,24,174,72,Serie A,Inter,Argentina,4,169900000.0,Right,81.08,6,38
79.0,91.0,76.0,83.0,34.0,72.0,78,91,89,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,ST,88,88,31000000.0,86000.0,37,187,83,Pro League,Al Nassr,Portugal,5,52700000.0,Right,81.04000000000002,4,39
84.0,70.0,82.0,82.0,77.0,70.0,86,73,70,Jordi Alba,Jordi Alba Ramos,LB,85,85,28000000.0,190000.0,33,170,68,La Liga,FC Barcelona,Spain,3,57400000.0,Left,80.98,7,40
91.0,81.0,76.0,86.0,48.0,73.0,75,80,50,F. Chiesa,Federico Chiesa,LW,84,87,57500000.0,140000.0,24,175,70,Serie A,Juventus,Italy,4,102100000.0,Right,80.94,8,41
81.0,73.0,81.0,79.0,79.0,82.0,78,69,70,S. Tonali,Sandro Tonali,"CDM, CM",84,90,62500000.0,75000.0,22,181,79,Serie A,Milan,Italy,3,118800000.0,Right,80.94,8,41
78.0,83.0,83.0,85.0,57.0,73.0,82,82,83,A. Griezmann,Antoine Griezmann,"ST, CF",84,84,35500000.0,88000.0,31,176,73,La Liga,Atlético Madrid,France,4,74600000.0,Left,80.88,8,42
88.0,81.0,79.0,86.0,54.0,66.0,80,81,55,Y. Carrasco,Yannick Ferreira Carrasco,"LM, LWB",84,84,42500000.0,85000.0,28,181,73,La Liga,Atlético Madrid,Belgium,4,89300000.0,Right,80.88,8,42
89.0,74.0,81.0,85.0,74.0,69.0,85,68,65,J. Cuadrado,Juan Guillermo Cuadrado Bello,"RB, RM, RW",82,82,11000000.0,110000.0,34,179,72,Serie A,Juventus,Colombia,5,18700000.0,Right,80.86,10,43
91.0,63.0,77.0,78.0,80.0,82.0,77,51,74,K. Walker,Kyle Walker,RB,85,85,37500000.0,170000.0,32,183,83,Premier League,Manchester City,England,3,69400000.0,Right,80.80000000000001,7,44
83.0,78.0,83.0,87.0,67.0,64.0,82,77,54,T. Lemar,Thomas Lemar,"CM, LM, RM",83,84,42500000.0,74000.0,26,171,66,La Liga,Atlético Madrid,France,4,92400000.0,Left,80.78,9,45
82.0,78.0,83.0,88.0,57.0,60.0,79,80,47,P. Foden,Philip Foden,"LW, CF, CAM",85,92,109500000.0,180000.0,22,171,69,Premier League,Manchester City,England,4,224500000.0,Left,80.74,7,46
83.0,84.0,82.0,86.0,30.0,79.0,84,84,65,M. Depay,Memphis Depay,"CF, LW, ST",85,85,55000000.0,230000.0,28,176,78,La Liga,FC Barcelona,Netherlands,5,112800000.0,Right,80.73999999999998,7,47
95.0,79.0,74.0,90.0,29.0,67.0,72,84,50,Vinícius Jr.,Vinícius José Paixão de Oliveira Júnior,LW,86,92,109000000.0,200000.0,21,176,73,La Liga,Real Madrid,Brazil,5,245300000.0,Right,80.71999999999998,6,48
90.0,79.0,78.0,86.0,45.0,67.0,78,81,46,R. Sterling,Raheem Sterling,"LW, RW, ST",85,85,57500000.0,180000.0,27,170,69,Premier League,Chelsea,England,4,106400000.0,Right,80.68,7,49
72.0,75.0,79.0,84.0,78.0,80.0,66,77,69,J. Bellingham,Jude Victor William Bellingham,CM,85,91,81500000.0,44000.0,19,186,75,Bundesliga,Borussia Dortmund,England,4,154900000.0,Right,80.67999999999999,7,50
63.0,73.0,78.0,73.0,88.0,89.0,62,64,81,Casemiro,Carlos Henrique Venancio Casimiro,CDM,89,89,86000000.0,240000.0,30,185,84,Premier League,Manchester United,Brazil,2,163400000.0,Right,80.66000000000001,3,51
87.0,69.0,82.0,84.0,76.0,71.0,83,59,66,Grimaldo,Alejandro Grimaldo García,"LB, LWB, LM",83,84,39000000.0,21000.0,26,171,67,Liga Portugal,Benfica,Spain,3,80900000.0,Left,80.66000000000001,9,51
73.0,78.0,81.0,82.0,82.0,81.0,77,79,86,Merino,Mikel Merino Zazón,"CM, LM, RM",83,86,47000000.0,49000.0,26,189,83,La Liga,Real Sociedad,Spain,3,102200000.0,Left,80.66,9,52
80.0,61.0,81.0,81.0,82.0,76.0,88,55,67,A. Robertson,Andrew Robertson,LB,87,87,72000000.0,185000.0,28,178,64,Premier League,Liverpool,Scotland,3,133200000.0,Left,80.64,5,53
78.0,76.0,74.0,79.0,82.0,87.0,66,73,68,F. Kessié,Franck Yannick Kessié,"CDM, CM, CAM",84,86,47500000.0,165000.0,25,183,88,La Liga,FC Barcelona,Côte d'Ivoire,3,100900000.0,Right,80.58,8,54
67.0,80.0,85.0,85.0,62.0,80.0,73,74,74,P. Pogba,Paul Pogba,"CM, CDM, LM",85,85,52500000.0,165000.0,29,191,84,Serie A,Juventus,France,5,89300000.0,Right,80.56,7,55
85.0,84.0,77.0,87.0,50.0,73.0,75,86,71,Á. Correa,Ángel Martín Correa,"ST, RM, CF",83,84,42500000.0,80000.0,27,171,70,La Liga,Atlético Madrid,Argentina,4,92400000.0,Right,80.54,9,56
69.0,74.0,81.0,81.0,81.0,78.0,73,69,70,M. Brozović,Marcelo Brozović,"CDM, CM",86,86,58000000.0,110000.0,29,181,68,Serie A,Inter,Croatia,3,95700000.0,Right,80.53999999999999,6,57
79.0,80.0,80.0,82.0,76.0,77.0,86,78,80,I. Perišić,Ivan Perišić,"LWB, LM",82,82,16000000.0,100000.0,33,186,80,Premier League,Tottenham Hotspur,Croatia,4,30400000.0,Right,80.50000000000001,10,58
91.0,79.0,77.0,85.0,50.0,73.0,79,77,45,Raphinha,Raphael Dias Belloli,"RW, RM",83,84,43500000.0,180000.0,25,176,68,La Liga,FC Barcelona,Brazil,4,92400000.0,Left,80.42,9,59
72.0,66.0,74.0,81.0,86.0,81.0,68,65,54,N. Kanté,N'Golo Kanté,"CDM, CM",88,88,64000000.0,210000.0,31,168,70,Premier League,Chelsea,France,2,118400000.0,Right,80.38,4,60
82.0,74.0,82.0,83.0,74.0,77.0,75,70,60,Sergi Darder,Sergi Darder Moll,"CM, CAM",82,82,30500000.0,30000.0,28,180,71,La Liga,Espanyol,Spain,3,64100000.0,Right,80.38,10,60
64.0,80.0,85.0,85.0,72.0,72.0,78,81,50,İ. Gündoğan,İlkay Gündoğan,"CM, CDM",85,85,44000000.0,185000.0,31,180,80,Premier League,Manchester City,Germany,4,81400000.0,Right,80.32,7,61
92.0,64.0,77.0,78.0,78.0,84.0,78,63,72,F. Mendy,Ferland Mendy,LB,83,84,38000000.0,170000.0,27,180,73,La Liga,Real Madrid,France,4,80800000.0,Left,80.24000000000002,9,62
81.0,60.0,71.0,72.0,90.0,86.0,53,52,86,V. van Dijk,Virgil van Dijk,CB,89,89,84500000.0,220000.0,30,193,92,Premier League,Liverpool,Netherlands,2,156300000.0,Right,80.24,3,63
79.0,78.0,86.0,88.0,48.0,67.0,85,74,51,Á. Di María,Ángel Fabián Di María Hernández,RW,84,84,20000000.0,160000.0,34,180,69,Serie A,Juventus,Argentina,5,34000000.0,Left,80.21999999999998,8,64
79.0,67.0,81.0,87.0,68.0,74.0,68,68,50,Pedri,Pedro González López,CM,85,92,104500000.0,115000.0,19,174,61,La Liga,FC Barcelona,Spain,4,235100000.0,Right,80.2,7,65
80.0,77.0,83.0,80.0,71.0,72.0,77,78,56,Carlos Soler,Carlos Soler Barragán,"CM, RM, CDM",83,86,47500000.0,100000.0,25,180,76,Ligue 1,Paris Saint Germain,Spain,3,91400000.0,Right,80.18,9,66
90.0,81.0,80.0,85.0,38.0,66.0,82,80,72,L. Sané,Leroy Aziz Sané,"LM, RM, CF",84,84,46000000.0,90000.0,26,183,80,Bundesliga,FC Bayern München,Germany,4,75900000.0,Left,80.16,8,67
84.0,82.0,75.0,88.0,40.0,78.0,74,83,78,Gabriel Jesus,Gabriel Fernando de Jesus,"ST, RW",84,86,53500000.0,130000.0,25,175,73,Premier League,Arsenal,Brazil,4,105700000.0,Right,80.16,8,67
53.0,81.0,90.0,81.0,71.0,68.0,88,77,58,T. Kroos,Toni Kroos,CM,88,88,72000000.0,310000.0,32,183,76,La Liga,Real Madrid,Germany,3,147600000.0,Right,80.14,4,68
81.0,77.0,81.0,86.0,70.0,62.0,73,75,52,P. Zieliński,Piotr Sebastian Zieliński,"CAM, CM",83,83,36500000.0,78000.0,28,180,75,Serie A,Napoli,Poland,4,62100000.0,Right,80.12,9,69
61.0,72.0,87.0,90.0,73.0,69.0,78,68,54,Thiago,Thiago Alcântara do Nascimento,CM,86,86,55500000.0,180000.0,31,174,70,Premier League,Liverpool,Spain,5,102700000.0,Right,80.11999999999999,6,70
92.0,77.0,79.0,87.0,30.0,61.0,81,76,61,K. Coman,Kingsley Junior Coman,"RM, LM",86,87,80000000.0,105000.0,26,181,75,Bundesliga,FC Bayern München,France,5,138000000.0,Right,80.05999999999999,6,71
91.0,80.0,75.0,87.0,34.0,73.0,76,80,62,L. Díaz,Luis Fernando Díaz Marulanda,"LW, LM",84,85,50500000.0,155000.0,25,180,73,Premier League,Liverpool,Colombia,4,97200000.0,Right,79.98,8,72
78.0,86.0,77.0,83.0,46.0,72.0,77,89,82,Gerard Moreno,Gerard Moreno Balagueró,ST,85,85,53000000.0,64000.0,30,180,77,La Liga,Villarreal,Spain,3,111300000.0,Left,79.96000000000001,7,73
81.0,84.0,78.0,88.0,39.0,68.0,74,87,74,W. Ben Yedder,Wissam Ben Yedder,ST,84,84,35500000.0,88000.0,31,170,68,Ligue 1,Monaco,France,4,67500000.0,Right,79.74,8,74
82.0,85.0,79.0,86.0,35.0,63.0,80,90,76,Iago Aspas,Iago Aspas Juncal,ST,85,85,26000000.0,50000.0,34,176,67,La Liga,Celta de Vigo,Spain,3,54600000.0,Left,79.72,7,75
67.0,80.0,85.0,86.0,68.0,64.0,80,75,53,H. Çalhanoğlu,Hakan Çalhanoğlu,CM,84,84,42000000.0,100000.0,28,178,76,Serie A,Inter,Turkey,4,69300000.0,Right,79.67999999999999,8,76
85.0,87.0,68.0,80.0,39.0,75.0,55,91,81,C. Immobile,Ciro Immobile,ST,86,86,55000000.0,100000.0,32,185,85,Serie A,Lazio,Italy,3,93500000.0,Right,79.63999999999999,6,77
82.0,81.0,81.0,86.0,36.0,71.0,77,82,62,D. Berardi,Domenico Berardi,"RM, RW",84,84,45000000.0,57000.0,27,183,72,Serie A,Sassuolo,Italy,4,76500000.0,Left,79.61999999999999,8,78
68.0,84.0,84.0,85.0,53.0,65.0,84,84,44,M. Reus,Marco Reus,"CAM, CF, RM",85,85,33500000.0,78000.0,33,180,71,Bundesliga,Borussia Dortmund,Germany,4,57000000.0,Right,79.6,7,79
80.0,81.0,81.0,89.0,38.0,60.0,80,80,56,R. Mahrez,Riyad Mahrez,"RW, RM",85,85,44500000.0,200000.0,31,179,67,Premier League,Manchester City,Algeria,5,82300000.0,Left,79.6,7,79
88.0,82.0,76.0,83.0,42.0,73.0,75,81,70,M. Rashford,Marcus Rashford,"LW, LM, ST",83,86,49500000.0,140000.0,24,186,70,Premier League,Manchester United,England,5,97800000.0,Right,79.58,9,80
81.0,77.0,82.0,87.0,51.0,61.0,81,79,43,Muniain,Iker Muniain Goñi,"LM, CAM",84,84,41500000.0,49000.0,29,170,66,La Liga,Athletic Club,Spain,4,87200000.0,Right,79.56,8,81
81.0,84.0,78.0,84.0,43.0,69.0,77,85,42,S. Gnabry,Serge David Gnabry,"RM, LM",84,84,46000000.0,90000.0,26,176,77,Bundesliga,FC Bayern München,Germany,4,75900000.0,Right,79.56,8,81
83.0,74.0,77.0,84.0,72.0,84.0,72,67,61,Renato Sanches,Renato Júnior Luz Sanches,"CM, RM",80,85,31500000.0,72000.0,24,176,70,Ligue 1,Paris Saint Germain,Portugal,4,60600000.0,Right,79.52000000000002,12,82
85.0,74.0,78.0,84.0,65.0,65.0,81,78,45,B. Saka,Bukayo Saka,"RM, RW",83,90,72000000.0,83000.0,20,178,65,Premier League,Arsenal,England,3,151200000.0,Left,79.52000000000001,9,83
73.0,81.0,85.0,85.0,54.0,63.0,83,80,35,J. Maddison,James Maddison,"RM, CAM",84,85,50500000.0,115000.0,25,175,73,Premier League,Leicester City,England,4,99700000.0,Right,79.5,8,84
73.0,78.0,86.0,87.0,75.0,55.0,86,77,44,R. Guerreiro,Raphaël Adelino José Guerreiro,"LB, LM",82,82,27500000.0,57000.0,28,170,71,Bundesliga,Borussia Dortmund,Portugal,4,46800000.0,Left,79.48,10,85
88.0,77.0,83.0,84.0,35.0,72.0,83,74,64,Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,"CAM, RM",83,83,35000000.0,59000.0,30,177,75,Serie A,Palmeiras,Brazil,4,63000000.0,Right,79.46000000000001,9,86
85.0,82.0,77.0,84.0,42.0,73.0,83,82,66,C. Gakpo,Cody Mathès Gakpo,LW,83,88,55000000.0,130000.0,23,189,76,Premier League,Liverpool,Netherlands,4,105900000.0,Right,79.46000000000001,9,86
67.0,83.0,83.0,80.0,55.0,70.0,85,87,79,T. Müller,Thomas Müller,"CAM, CF",86,86,54000000.0,105000.0,32,185,76,Bundesliga,FC Bayern München,Germany,3,89100000.0,Right,79.46,6,87
79.0,56.0,75.0,74.0,89.0,80.0,68,59,88,Marquinhos,Marcos Aoás Corrêa,CB,88,90,92000000.0,170000.0,28,183,75,Ligue 1,Paris Saint Germain,Brazil,3,177100000.0,Right,79.42,4,88
82.0,75.0,74.0,79.0,77.0,80.0,82,79,82,R. Gosens,Robin Everardus Gosens,"LWB, LM",82,82,29500000.0,59000.0,27,183,76,Serie A,Inter,Germany,3,3200000.0,Left,79.42,10,88
82.0,73.0,76.0,81.0,75.0,78.0,82,68,68,Pedro Porro,Pedro Antonio Porro Sauceda,"RWB, RM",82,88,46000000.0,16000.0,22,173,69,Liga Portugal,Sporting CP,Spain,3,101200000.0,Right,79.41999999999999,10,89
74.0,77.0,79.0,87.0,59.0,77.0,73,76,78,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,CF,83,83,35500000.0,150000.0,30,181,76,Premier League,Liverpool,Brazil,5,65700000.0,Right,79.4,9,90
93.0,77.0,77.0,86.0,50.0,54.0,78,79,49,Rafa,Rafael Alexandre Fernandes Ferreira da Silva,"CF, RM, RW",83,83,36500000.0,26000.0,29,172,66,Liga Portugal,Benfica,Portugal,4,73000000.0,Right,79.39999999999999,9,91
76.0,75.0,86.0,84.0,58.0,63.0,84,75,52,M. Ødegaard,Martin Ødegaard,"CAM, CM",84,89,63500000.0,105000.0,23,178,68,Premier League,Arsenal,Norway,5,125400000.0,Left,79.38000000000001,8,92
60.0,61.0,87.0,91.0,79.0,66.0,82,60,57,M. Verratti,Marco Verratti,"CM, CAM",87,87,77500000.0,155000.0,29,165,60,Ligue 1,Paris Saint Germain,Italy,4,143400000.0,Right,79.37999999999998,5,93
80.0,68.0,78.0,79.0,81.0,78.0,78,69,69,K. Laimer,Konrad Laimer,"CDM, CM",83,84,38500000.0,64000.0,25,180,72,Bundesliga,RB Leipzig,Austria,3,68300000.0,Right,79.34,9,94
79.0,76.0,76.0,79.0,81.0,88.0,64,74,81,E. Can,Emre Can,"CM, CB, CDM",80,80,21000000.0,54000.0,28,186,86,Bundesliga,Borussia Dortmund,Germany,3,35700000.0,Right,79.34,12,94
70.0,69.0,83.0,88.0,71.0,71.0,73,61,42,M. Kovačić,Mateo Kovačić,CM,84,84,42000000.0,155000.0,28,177,80,Premier League,Chelsea,Croatia,4,77700000.0,Right,79.32000000000001,8,95
76.0,80.0,82.0,81.0,64.0,80.0,79,74,74,R. Malinovskyi,Ruslan Malinovskyi,"CF, CAM",81,81,25500000.0,68000.0,29,181,79,Ligue 1,Olympique Marseille,Ukraine,4,3200000.0,Left,79.32,11,96
78.0,71.0,82.0,84.0,75.0,70.0,87,70,65,Angeliño,José Ángel Esmoris Tasende,"LWB, LM",82,84,35000000.0,59000.0,25,171,69,Bundesliga,TSG Hoffenheim,Spain,4,3200000.0,Left,79.30000000000001,10,97
77.0,68.0,80.0,86.0,77.0,76.0,72,63,62,I. Bennacer,Ismaël Bennacer,"CDM, CM",82,86,40000000.0,63000.0,24,175,70,Serie A,Milan,Algeria,4,71000000.0,Left,79.30000000000001,10,97
58.0,72.0,78.0,79.0,83.0,84.0,63,64,80,Rodri,Rodrigo Hernández Cascante,CDM,87,89,88500000.0,200000.0,26,191,82,Premier League,Manchester City,Spain,3,170400000.0,Right,79.26000000000002,5,98
80.0,85.0,75.0,77.0,38.0,82.0,73,88,87,R. Lukaku,Romelu Lukaku Menama,ST,85,85,54000000.0,185000.0,29,191,94,Serie A,Inter,Belgium,3,3200000.0,Left,79.24,7,99
83.0,79.0,82.0,87.0,35.0,63.0,77,78,61,E. Hazard,Eden Michael Hazard,LW,84,84,35000000.0,220000.0,31,175,74,La Liga,Real Madrid,Belgium,4,71800000.0,Right,79.2,8,100
76.0,76.0,83.0,87.0,46.0,69.0,82,76,36,J. Grealish,Jack Grealish,"LW, LM",84,84,46000000.0,185000.0,26,180,81,Premier League,Manchester City,England,4,85100000.0,Right,79.14,8,101
81.0,79.0,79.0,84.0,45.0,68.0,74,81,80,K. Havertz,Kai Lukas Havertz,"CAM, CF, ST",84,91,84500000.0,130000.0,23,190,82,Premier League,Chelsea,Germany,4,173200000.0,Left,79.14,8,101
72.0,77.0,79.0,85.0,69.0,77.0,72,78,68,Lucas Paquetá,Lucas Tolentino Coelho de Lima,"CAM, CM",82,87,46000000.0,77000.0,24,180,72,Premier League,West Ham United,Brazil,5,90900000.0,Left,79.12000000000002,10,102
82.0,80.0,80.0,87.0,40.0,67.0,77,79,69,João Félix,João Félix Sequeira,"CF, ST",83,89,59000000.0,71000.0,22,181,72,Premier League,Chelsea,Portugal,5,3200000.0,Right,79.10000000000001,9,103
50.0,83.0,90.0,80.0,71.0,68.0,86,83,61,Parejo,Daniel Parejo Muñoz,"CM, CDM",86,86,42000000.0,64000.0,33,182,74,La Liga,Villarreal,Spain,3,88200000.0,Right,79.1,6,104
80.0,83.0,77.0,82.0,52.0,75.0,74,82,77,Anderson Talisca,Anderson Souza Conceição,"CF, ST, CAM",82,82,31000000.0,64000.0,28,190,80,Pro League,Al Nassr,Brazil,4,52700000.0,Left,79.06000000000002,10,105
64.0,69.0,78.0,77.0,85.0,83.0,75,63,75,Fabinho,Fábio Henrique Tavares,CDM,86,86,59500000.0,170000.0,28,188,78,Premier League,Liverpool,Brazil,3,110100000.0,Right,79.03999999999999,6,106
93.0,77.0,79.0,87.0,36.0,56.0,85,75,43,O. Dembélé,Ousmane Dembélé,"RW, LW",83,86,48000000.0,180000.0,25,178,67,La Liga,FC Barcelona,France,5,102000000.0,Left,79.03999999999999,9,106
